Trial,condition,word,response,color,color_of_words,practice01.thisRepN,practice01.thisTrialN,practice01.thisN,practice01.thisIndex,trial_pos.thisRepN,trial_pos.thisTrialN,trial_pos.thisN,trial_pos.thisIndex,trials_neg.thisRepN,trials_neg.thisTrialN,trials_neg.thisN,trials_neg.thisIndex,trial_col_pos.thisRepN,trial_col_pos.thisTrialN,trial_col_pos.thisN,trial_col_pos.thisIndex,trial_col_neg.thisRepN,trial_col_neg.thisTrialN,trial_col_neg.thisN,trial_col_neg.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,fixtation.started,fixtation.stopped,words.started,words.stopped,key_response.keys,key_response.started,key_response.stopped,key_response.rt,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,fix_2.started,fix_2.stopped,word_2.started,word_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,positive,curious,p',"(0, 100, 0)",,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.94837100000586,78.94764195906464,79.03125120908953,None,None,79.03125120908953,80.03143591701519,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
9,negative,sad,n',"(0, 100, 0)",,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.53124845901038,81.53162262507249,81.61514500004705,80.53124845901038,n,81.61514500004705,None,0.9047012910014018,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
7,negative,busy,n',"(0, 100, 0)",,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.54833266697824,83.54807975003496,83.631237792084,None,n,83.631237792084,None,0.7647307910956442,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.41558020899538,None,space,7.614361374056898,84.41558020899538,None,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
13,neutral,wrapping,q',"(0, 100, 0)",,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,92.07134887506254,93.08199475007132,93.16471266699955,None,None,93.16471266699955,94.16506487503648,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
6,positive,intimate,p',"(0, 100, 0)",,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,94.66467475006357,95.66471325000748,95.74844950006809,None,None,95.74844950006809,96.74831787508447,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
12,neutral,imaging,q',"(0, 100, 0)",,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,97.24811875005253,98.248735625064,98.33196212502662,97.24811875005253,None,98.33196212502662,99.33149908401538,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
18,neutral,ceiling,q',"(0, 100, 0)",,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,99.83184641704429,100.83172400004696,100.91533779201563,99.83184641704429,None,100.91533779201563,101.91495445906185,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
14,neutral,sentense,q',"(0, 100, 0)",,,,,,0,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,102.41490320907906,103.41517045907676,103.49881245905999,102.41490320907906,None,103.49881245905999,104.49857629206963,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
20,neutral,designating,q',"(0, 100, 0)",,,,,,0,5,5,19,,,,,,,,,,,,,,,,,,,,,,,,,104.99890750006307,105.9993010420585,106.08219170907978,104.99890750006307,None,106.08219170907978,107.08238883398008,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,001,2021_Dec_10_2131,myproject,2021.2.3,59.86185405408151,
